"ResourceTypeGeneral","ResourceType","Count"
"text","magazinenewsletter series",1
"text","major depression is associated with considerable morbidity and mortality as well as substantial economic costswe know that major depression has a genetic component this project aims to identify specific genes that make some people more susceptible than others",1
"text","malayan pangolin covirusinfected skin",1
"text","male infertility affects approximately 7 of men worldwide multiple  morphological anomalies of the flagella mmaf is characterised by several morphological defects in sperm flagella including absent short bent coiled andor irregular flagella mmaf is a rare version of asthenozoospermia with serious consequences for male fertilityhere we describe several novel compound heterozygous mutations and a novel homozygous mutation in dnah1 from six independent mmaf patients",1
"text","mammalian oocytes suffer from increasing chromosome instability with aging telomeric dna damage response ddr is essential for genome stability yet little is known about how the dna repair machinery responds to the telomeric region during oocyte aging we established a telomere dna damage model through crisprcas9 in mouse oocytes and investigated how oocytes respond to and repaired those damages together our findings highlight how telomeric dna damage escalates with age consequently compromising chromosome instability in oocytes and underscore the role of telomeric ddr during oocyte aging",1
"text","mammalian preimplantation development is a complex process involving sequential decay of maternally stored rnas and proteins initiation of embryonic genome activation ega and cell lineages differentiation paternally and maternally derived genomes collectively contribute to early embryogenesis but little is known about their specifically effects on the startup of human preimplantation embryos here we systematically profile the transcriptomes of human biparental bi and uniparental androgenetic ag and parthenogenetic pg embryos from the zygotic to morula stage by singlecell rnasequencing",1
"text","mandrillus leucophaeus genome reference project",1
"text","mandrillus sphinx raw sequence reads",1
"text","mangrove fungi 18s",1
"text","mangrovicella endophytica gen nov sp nov a new member of the family aurantimonadaceae isolated from aegiceras corniculatum",1
"text","manmals regeneration is challenging due to limited regenerative capacity while the axolotl can regenerate multiple organs including the brain yet the regulatory mechanism of telencephalon regeneration in axolotl remains unclear here by singlecell accessibility sequencing scatacseq we described the transcription factors in different cell types during regeneration especially ractivate regeneration ependymoglial cells reaegc associated transcription factors that greatly affect the ragulation of telencephalic injury regeneration in axolotl",1
"text","manual of operations sop",1
"text","manual of procedures",1
"text","manuscript maps",1
"text","manuskript bok trykk",1
"text","manuskript brev",1
"text","manuskript fragment",1
"text","many neurological disorders exhibit sex differences and sexspecific therapeutic responses unfortunately significant amounts of studies investigating molecular and cellular mechanisms underlying these neurological disorders use primary cell cultures with undetermined sexes and this may be a source for contradictory results among different studies and impair the validity of study conclusion herein we comprehensively compared sexual dimorphism of gene expression profiling in primary neurons astrocytes and microglia derived from neonatal mouse brains",1
"text","many problems and challenges in the modern world such as the rising carbon dioxide levels in the atmosphere resulting in climate change photosynthetic microalgae have been considered as a green cell factory for carbon dioxide sequestration and potential commercial production of bioenergy however there is an inverse relationship between lipid content and biomass productivity in microalgae that is the favorable conditions mostly nitrogen deprivation for high lipid accumulation limit cell growth and result in low biomass production vischeria cf polyphem eustigmatos cf polyphem and vischeria stellate are two oleaginous eustigmatophyte microalgae which show excellent biomass yield in nitrogenlimiting culture especially for e cf polyphem and their lipid contents can reach 7145 and 6679 of dry weight respectively here we sequenced the genome of two microalgae and the transcriptomes of e cf polyphem to investigate the genomic evolution and molecular mechanisms related to the high innate lipid accumulation rates and biomass production performance of two microalgae especially for e cf polyphem",1
"text","map and chart",1
"text","mapmono",1
"text","marine sediment",1
"text","market research responses",1
"text","masch  hs",1
"text","maschhs",1
"text","maschinenschriftlich
zeichnung",1
"text","mategenomic data of microorganisms from vinegar pei",1
"text","material didáctico",1
"text","maternal dominance contributes to subgenome differentiation in allopolyploid fishes",1
"text","mayerrokitanskykusterhauser mrkh syndrome is a rare congenital condition characterized by hypoplasia of the vagina and uterus the vagina is one of many sites where bacterial communities are typically found in the human body the vaginal microbiome plays a crucial role in maintaining a healthy vaginal environment for women developing a better understanding of the neovaginal microbiome is important for mrkh patients health here we presented a detailed analysis of the spatiotemporal dynamics of the neovaginal microbiota in women with mrkh undergone laparoscopic peritoneal vaginoplasty through multisite longitudinal sampling and wholegenome shotgun metagenomic sequencing",1
"text","maylandia zebra genome reference project",1
"text","mbnl1 and qki were identified as critical premrna alternative splicing regulators and play an important role in regulating circrna production observed in multiple human solid tumors however the role of mbnl1 and qki in esophageal squamous cell carcinoma escc has not been investigated in this study we show that the occurrence of escc significantly changes the expression levels of mbnl1 and qki as well as a large number of circrna lncrna and mrna knockout of mbnl1 or qki in kyse150 cells significantly promotes cancer cell migration invasion and proliferation in addition we observed that the expression patterns of hundreds of circrnas lncrnas and mrnas in mbnl1 or qkideficient cells were significantly regulated it is worth noting that there are many overlapping genes in the differentially expressed circrnas lncrnas and mrnas generated by mbnl1 or qki knockout and there are also several overlapping genes in the top20 differentially expressed genes although the functions of circrna and lncrna in the overlapping genes are still unclear 3 kinds of mrna including slco4c1 tmprss15 and mageb2 in overlapping genes have been reported to be able to regulate tumor progression these findings demonstrate that mbnl1 and qki act as tumor suppressors for escc and may be served as potential biomarkers and targets for escc diagnosis and treatment",1
"text","mccip infographic",1
"text","mdpcs were incubated with a classic and most commonly used odontogenic medium for 9 days in vitro then they were compared with the uninduced cells cultured in dmem medium total rna from different samples was isolated for small rna sequencing and expression profile screening of pirna in mdpcs they were performed in bgiseq500 sequencing system by beijing genomics institution bgi china",1
"text","mdscs were sorted from mouse bone marrow these cells were grouped into two types as wt and ripk3ko",1
"text","mdssrp95hdoxdmso2sp2104010565
mdssrp95hdoxdmso3sp2104010564
mdssrp95hdoxtala1sp2104010560
mdssrp95hdoxtala2sp2104010558
mdssrp95hdoxtala3sp2104010559
mdssrp95hdoxdmso1sp2104010569
mdssrp95hdoxdmso2sp2104010567
mdssrp95hdoxdmso3sp2104010568
mdssrp95hdoxtala1sp2104010561
mdssrp95hdoxtala2sp2104010562
mdssrp95hdoxtala3sp2104010563",1
"text","measurements and tests",1
"text","mechanisms of fecal microbiota transplantation on spleen deficiency syndrome in irritable bowel syndrome with diarrhea insights from microbiomics and metabolomics studies",1
"text","media",1
"text","medical atlas",1
"text","meetingabstract",1
"text","mehrbändiges werk",1
"text","melothria scabra is a plant of the family cucurbitaceae and the genus melothriathis study assembled and analyzed complete chloroplast genomes of melothria scabra for the first time ever",1
"text","memorial",1
"text","memorial cards",1
"text","mendelian disease causative gene",1
"text","mendelian disease gene",1
"text","meripseq of b16f10",1
"text","mesenchymal stem cells are ideal seed cells for tissue repair and cell therapy and have promising applications in regenerative medicine and tissue engineering using plateletrich plasma as an adjuvant to create and improve the microenvironment for mesenchymal stem cells growth can enhance the biological properties of mesenchymal stem cells and improve the efficacy of cell therapy however the mechanism by which plateletrich plasma improves the biological performance of mesenchymal stem cells is still unknown in this study by examining the effects of plateletrich plasma on the biological performance of mesenchymal stem cells combined with multiomics analysis transcriptomics proteomics and metabolomics and related tests we analyzed the specific pathways related mechanisms and metabolic pathways of plateletrich plasma to improve the biological performance of mesenchymal stem cells in an in vitro cell culture system the biological performance of mesenchymal stem cells was significantly improved after replacing foetal bovine serum with plateletrich plasma and the genes esm1 pdgfb clec7a ccr1 and itga6 et al related to cell proliferation adhesion growth migration and signal transduction were significantly upregulated plateletrich plasma can enhance the secretion function of msc exosomes significantly upregulate many proteins related to tissue repair immune regulation and antiinfection and enhance the repair effect of exosomes on skin injury after replacing foetal bovine serum with plateletrich plasma mesenchymal stem cells underwent metabolic reprogramming the metabolism of amino acids and fatty acids and various signaling pathways were changed the anabolic pathways of various proteins were enhanced these results provide a theoretical and technical reference for optimizing the mesenchymal stem cells culture system improving the biological characteristics and clinical application effects of mesenchymal stem cells",1
"text","mesenchymal stem cells mscs are adult stem cells with selfrenewal and multidirectional differentiation potential and possess the functions of immunomodulation regulation of cell growth and repair of damage over recent years mscs have been found to regulate the secretion of inflammatory factors and to exert regulatory effects on various lymphocytes in inflammatory states and on the subsequent repair of tissue damage caused by inflammation in the present study we analyzed the effects of tissue inflammation on the characteristics of mscs",1
"text","mesenchymal stemstromal cells mscs are multipotent cells with promising application potential in regenerative medicine and immune regulation however mscs cultured in vitro exhibit functional variation and heterogeneity which potentially leads to inconsistent clinical outcomes the underlying molecular mechanisms that define msc heterogeneity remain largely unknown hindering method development for functional potency assessment here we investigated into geneexpression heterogeneity of human primary whartons jellyderived mscs wjmscs cultured in vitro via singlecell rnaseq",1
"text","mesoplodon hotaula genome",1
"text","meta",1
"text","metabolic reprogramming of bladder cancer cells driven by mutant fgfr3 increases serine synthesis that suppresses macrophage immunostimulatory functions to generate an immunosuppressive tumor microenvironment",1
"text","metabolite quantification in plasma",1
"text","metabolites serve as indicators of individual health and potential targets for therapy however the genetic underpinnings of metabolites remain largely unexplored within east asian populations during pregnancy here genetic information derived from noninvasive prenatal testing was used to conduct a genomewide association analysis of 84 metabolites including 37 amino acids 10 vitamins 24 metal elements and 13 hormones involving 34394 pregnant chinese women with sample size ranging from 6394 to 13392 for specific metabolites we identified 23 novel metabolitegene associations and differences in genetic effects on hormones in pregnancy suggesting adaptive responses to physiological changes furthermore pervasive pleiotropic effects were observed in 5094 of genetic associations among metabolites and between six metabolites and eight pregnancy phenotypes using mendelian randomization we identified numerous potential causal relationships these revelations lay the foundation for mechanistic investigations and the identification of therapeutic targets in east asians",1
"text","metabolome of 293t cells subjected to longterm hypoxia 1 o2 stress for 0  10 25 generations",1
"text","metabolome study of rehmannia glutinosa one control group and one group treated with expansin with 6 replicates in each group",1
"text","metabolomic  metagenomic and 16s rrna data of fecal samples from captive red panda exposed to various dietary and environmental conditions",1
"text","metabolomic sequencing of fecal samle from yorkshire sows",1
"text","metabolomics and transcriptomics analyses provide new insights into the nutritional quality of endosperm in autotetraploid rice",1
"text","metadata schema 20 xml",1
"text","metadata template",1
"text","metagenome",1
"text","metagenome data of patients with mdd before and after antidepressant treatment and metagenome data of hc at baseline more specifically a total of 285 stool samples were collected from 110 mdd patients at baseline week 2 and week 12 after esc treatment for hcs 166 stool samples were collected at baseline respectively all the stool samples were subjected to shotgun metagenomic sequencing",1
"text","metagenome of different slaughtering stages in pig slaughterhouse",1
"text","metagenome of human gut virome and human gut microbiota",1
"text","metagenomewide association studies have reported numerous associations between gut microbes and obesity however the microbes that causally contribute to obesity and the underlying mechanisms remain to be determined in this study we conducted metagenomic sequencing in a young chinese cohort of 631 obese subjects and 374 normalweight controls intriguingly we identified a novel megamonasdominated enterotypelike cluster in fecal samples which was highly prevalent in obese subjects among 814 subjects receiving whole genome sequencing wgs we further revealed that polygenic risk scores for bmi prsbmi and the gut microbiota independently explain 5 of the total variations in bmi specifically megamonas carriers with higher prsbmi showed significantly higher bmi levels than others supplementation of megamonas rupellensis degraded inositol and promoted highfat dietinduced obesity via increasing intestinal lipid absorption together our findings identify megamonas as an inositol degrader increasing lipid absorption and obesity inhibition of megamonas may provide a therapeutic strategy for obesity and metabolic disturbances",1
"text","metagenomic analysis of gut microbiome of persistent pulmonary hypertension of the newborn",1
"text","metagenomic and 16srrna data of marine medaka gut microbiota after florfenicol exposure treatment",1
"text","metagenomic data and genomic sequence data from pediatric patients diagnosed with mycoplasma pneumoniae pneumonia in childrens hospital of soochow university",1
"text","metagenomic information of soil in inner mongolia grassland",1
"text","metagenomic next generation sequencing detected rabies virus in a long incubation period rabies case",1
"text","metagenomic next generation sequencing of bloodstream microbial cellfree nucleic acid in children with suspected sepsis in pediatric intensive care unit",1
"text","metagenomic next generation sequencing of bronchoalveolar lavage fluid in nonhiv infected children in pediatric intensive care unit",1
"text","metagenomic nextgeneration sequencing data of infectious fluids based on nanopore platform",1
"text","metagenomic nextgeneration sequencing mngs is emerging as a promising technique for pathogens detection most patients with ctds under immunosuppression are susceptible to infection however reports on the application of mngs in patients with connective tissue diseases ctds who were suspected infection remain scarce in the present study we evaluate the utility of mngs for the diagnosis of infection and show the characteristic of the distribution of pathogens in ctds besides we also analyse the cd4 lymphocyte subsets and their association with mngs results",1
"text","metagenomic nextgeneration sequencing successfully detects pulmonary infectious pathogens in children with hematologic malignancy",1
"text","metagenomic nextgeneration sequencing technology mngs has the potential to detect a wide range of pathogenic microorganisms",1
"text","metagenomic of dairy goats ileum contents",1
"text","metagenomic of dairy goats jejunum contents",1
"text","metagenomic secondgeneration sequencing mngs can detect all pathogenic microorganisms without bias which is of great significance for the early diagnosis of sepsis the purpose of this study was to analyze the clinical coincidence rate of mngs test results of blood samples in this study 99 samples of suspected blood flow infection were included for plasma mngs and the correlation between mngs results and blood culture results serum inflammatory indexes and clinical symptoms was analyzed the results showed that the detection sensitivity of mngs test was 8302 while that of blood culture was 3585 while the clinical coincidence rates of mngs test and blood culture were 5849 and 2075 respectively because 32 of the patients with sepsis in this study were secondary to pulmonary infection compared with alveolar lavage fluid the detection rate of plasma mngs was 625 at the same time the sampling was convenient noninvasive and easier for clinical application this study shows that in patients with suspected blood flow infection the clinical coincidence rate of plasma mngs detection technology is higher which is more conducive to early clinical diagnosis and treatment",1
"text","metagenomic sequencing data of sludge samples from centralized treatment plants in china",1
"text","metagenomic sequencing of human gut microbes",1
"text","metagenomic sequencing of stool microbiome collected from 18 crc patients and 18 healthy controls",1
"text","metagenomics and metaproteomics analysis of intestinal lavage fluid sample obtained from healthy individuals and patients with liver disease during colonoscopy",1
"text","metatranscriptome of h1 with or without exogenous thiamine in the 1st and 40th transfers",1
"text","metatranscriptomes of 2438 individuals of mosquito collected in china",1
"text","metatranscriptomic sequencing of intertidal sediment core samples located at yancheng wetland jiangsu province china",1
"text","metatranscriptomics data of aedes albopictus from four places in yunnan",1
"text","metatrass highquality metagenomic taxonomic read assembly of singlespecies based on cobarcoding sequencing data and references",1
"text","meth成瘾与表观遗传学密切相关其中hdac3已有发现参与到成瘾的动物模型组我们通过收集汉族人群中meth依赖的患者及其对照健康人通过snp的测序发现5q313的rs14251与meth依赖密切相关",1
"text","mgieasy fast fs library prep set v20",1
"text","mhc capture data for mhc typing",1
"text","mice were deeply anesthetized with isoflurane and hippocampus tissues were rapidly dissected for snrnaseq",1
"text","mice were maintained in the specific pathogenfree environment on a 1212h lightdark cycle zt0 6 am light on zt12 6 pm light off and were used for collageninduced arthritis cia experiments for feeding time restriction experiments cia mice were given access to food only during the light phase zt0zt12 or only during the dark phase zt12zt24 for 4 weeks until the end of this experiment",1
"text","microbial monitoring of microbial fuel cell systems",1
"text","microplankton community in the overlying water of the coral reef in chinas xisha islands",1
"text","micrornas mirnas have been shown to play a considerable role in the development and progression of nasopharyngeal carcinomanpc despite accumulating studies on the molecular mechanisms of npc the mirna regulatory networks in cancer progression remain largely unknown laser capture microdissectionlcm and deep sequencing are powerful tools that can help us to detect the integrated view of mirnatarget network",1
"text","microsatellite stable mss colorectal cancers crc are often resistant to antiprogrammed death1 pd1 therapy here we show that a crc pathogen fusobacterium nucleatum fn paradoxically sensitizes mss crc to antipd1 fecal microbiota transplantation fmt from fnhigh mss crc patients to germfree mice bearing msscrc tumors conferred sensitivity to antipd1 compared to fmt from fnlow counterparts single fn administration also potentiated antipd1 efficacy in murine allografts and cd34 humanized mice bearing mss crc mechanistically we demonstrate that intratumoral fn generates abundant butyric acid which inhibits hdac38 in cd8t cells to induce tbx21 promoter h3k27 acetylation and expression tbx21 transcriptionally represses pd1 to alleviate cd8t cell exhaustion and promote effector function supporting this notion knockout of a butyric acidproducing gene in fn abolished its antipd1 boosting effect in mss crc patients high intratumoral fn predicts favorable response to antipd1 therapy indicating fn as a potential biomarker of immunotherapy response in mss crc",1
"text","microtus ochrogaster genome reference project",1
"text","military order",1
"text","mirna data of hepatopancreas tissue in eriocheir sinensis",1
"text","mirna data of ovarian tissue of adult and juvenile crabs in eriocheir sinensis",1
"text","mirna data of testicular tissue in precocious eriocheir sinensis",1
"text","missing protein discovery in the cell line of d283 med derived from a peritoneal metastatic medulloblastoma",1
"text","mitochondria localization of notch1 promotes endothelialtomesenchymal transition by enhancing mitochondrial metabolism in heart development",1
"text","mitochondrial and nuclear genes on phylogenetic and biogeographic studies of spiders",1
"text","mitochondrial genomes of hibiscus reveal structural heterogeneity and phylogenetic relationships",1
"text","mitophagy mediated by receptors bnip3 and nix critically regulates mitochondrial mass under developmental and pathophysiological conditions cellular bnip3 and nix levels are tightly controlled by scffbxl4mediated ubiquitination to prevent excessive mitophagy and lethal disease here we report that knockout of pptc7 a mitochondrial matrix protein hyperactivates bnip3nixmediated mitophagy in vitro and in vivo
biochemically the pptc7 precursor is trapped by bnip3 and nix to mitochondrial outermembrane where pptc7 scaffolds the assembly of the substratepptc7scffbxl4 holocomplex to degrade bnip3 and nix forming a homeostatic regulatory loop pptc7 possesses an unusually weak mitochondrial targeting sequence to facilitate its outermembrane retention and mitophagy control upon starvation pptc7 is transcriptionally upregulated in mouse liver to repress mitophagy which critically maintains hepatic mitochondrial mass bioenergetics and gluconeogenesis collectively pptc7 functions as a mitophagy sensor that integrates homeostatic and physiological signals to dynamically control bnip3 and nix degradation thereby maintaining proper mitochondrial mass and cellular homeostasis",1
"text","mixed material",1
"text","mngs sequencing was performed on samples from patients suspected of tuberculosis infection in the first affiliated hospital of zhengzhou university",1
"text","mngs technology is a technology that uses highthroughput sequencing to detect microorganisms in tissues it can comprehensively detect the species abundance and other information of known and unknown pathogenic microorganisms in samples compared with traditional pcr or culture methods mngs technology is fast and does not need to predict microbial species it has been gradually applied and popularized in clinic in recent years",1
"text","mngs were detected in 45 patients with pulmonary infection",1
"text","mngs 在鉴别肺孢子肺炎中的表现",1
"text","mode demploi guide dutilisation",1
"text","modern methods of highthroughput sequencing allow obtaining data both about fulllength nucleotide sequences of viral genomes and about metagenomes we have tested a method of universal preparation of samples which contain rna viruses as targets and conducted highthrougput sequencing using metagenomic approaches through the example of the measles virus isolates the possibility of the samples sequencing with obtaining data enough for the virus genotyping has been shown to obtain fulllength genome sequences a higher throughput sequencing or an additional purification of the sample from a cell culture rna is necessary key words highthroughput sequencing rna sequencing sequencing of viruses measles virus molecular epidemiology современные методы высокопроизводительного секвенирования позволяют получать информацию как о полноразмерных нуклеотидных последовательностях геномов вирусов так и о метагеномах был апробирован метод универсальной подготовки образцов имеющих в качестве мишеней рнксодержащие вирусы и проведено высокопроизводительное секвенирование с использованием подходов метагеномики на примере изолятов вируса кори показана возможность секвенирования образца с получением данных достаточных для генотипирования вируса для получения полноразмерных нуклеотидных последовательностей необходимо проведение секвенирования с большей производительностью или дополнительной очистки образца от рнк культуры клеток ключевые слова высокопроизводительное секвенирование секвенирование рнк секвенирование вирусов вирус кори молекулярная эпидемиология",1
"text","molecular landscape and efficacy of her2targeted therapy in patients with her2mutated metastatic breast cancer",1
"text","money",1
"text","monographe",1
"text","monographie  buch",1
"text","monographies imprimées",1
"text","monographiescientific article published electronically",1
"text","monography report",1
"text","more than a decade of gut microbiome studies has a common goal for human health as most of the disease studies sample the elderly or the middleaged a reference cohort for young healthy individuals has been lacking it is also not clear what other omics data need to be measured to better understand the gut microbiome here we present highdepth metagenomic shotgun sequencing data for the fecal microbiome together with other omics data in a cohort of 2183 adults a number of vitamins amino acids and trace elements leave their marks on the gut microbiome and cluster with t cell receptor types gender and hormones especially the adrenal gland mineralocorticoid aldosterone have their impacts effects of physical fitness sleeping habits and dairy consumption are also demonstrated in this large multiomic cohort thus our comprehensive data are poised to advise future study designs and offer support for exercising and yogurt consumption",1
"text","mosses compose one of the oldest lineages of extant land plants embryophytes we sequenced and de novo assembled two moss genomes belonging to the orderfrom hypnales namely entodon seductrix and hypnum curvifolium with the 10x genomics and the hic data",1
"text","mountaineering singlecell pbmc sequencing",1
"text","mouse heart scrnaseq data of different develop stages",1
"text","mouse spleen human cart il10 scrna seq 9000 cells",1
"text","movingimage",1
"text","mphil",1
"text","mplete genome sequence of bacillus thuringiensis lt2016",1
"text","mrna sequencing results of trophoblast cell line htr8svneo overexpressing hsamir518c5p",1
"text","mrna sequencing was performed on the hippocampal tissues of 5 wt male mice and 5 male mice treated with chronic restraint stress crs for 2 weeks",1
"text","mtcblog",1
"text","much less is known about the pm localized rna and its function in cellular homeostasis and diseases here using a pm located apex mediated proximity labeling strategy followed by rna sequencing we uncover the existence of rnas in the pm of cardiomyocytes among them the most abundant lncrna in pm fractions is identified to be interacted with b1ar and promotes isoproterenol induced camp signaling activation",1
"text","multimedia",1
"text","multiomics analysis of ggoassociated lung cancer patients by cancer gene panel sequencing rna sequencing t cell receptor sequencing and circulating cell free dna ctdna sequencing",1
"text","multiomics analysis reveals the hostmicrobe interactions in aged rhesus macaques",1
"text","multiomics analysis reveals the hostmicrobe interactions in rhesus macaques at sexual maturity",1
"text","multiomics exploration of the pathogenesis of preeclampsia and its circular dna signature",1
"text","multiomics of cholangiocarcinoma",1
"text","multitissue spatial transcriptome data from peanut",1
"text","multivolumework",1
"text","multomics data including rnaseq data from root leaf and peel metagenomic data from root and  rhizosphere soil",1
"text","mung beans were treated with 30 60 90 120 150 mm nacl respectively and leaves were harvested for transcriptome sequencing after 48h of treatment",1
"text","muscari latifolium mutant flower color  transcriptomes",1
"text","music manuskript",1
"text","musicsupplies",1
"text","mutational bias of turnip yellow mosaic virus in the context of host antiviral gene silencing",1
"text","mycalesis mineus genome reference project",1
"text","mycobacterium tuberculosis ccdc 5079 this strain belongs to the beijing family strain ccdc5079 is susceptible to isoniazid rifampicin streptomycin and ethambutol this strain is sequenced for comparative genomic studies",1
"text","mycobacterium tuberculosis ccdc 5180 this strain was isolated in 2004 from a patient with secondary pulmonary tuberculosis strain ccdc5180 is resistant to isoniazid rifampicin streptomycin and ethambutol this strain is sequenced for comparative genomic studies",1
"text","mycobacterium tuberculosis h37rathis attenuated strain is a standard isolate from the cdcc  it is derived from the original humanlung h37 isolate in 1934 and has been used extensively worldwide in mycobacterial virulence research",1
"text","mycoplasma ovipneumoniae is believed to be responsible for nonprogressive pneumoniae in sheep goats and small ruminants distributes worldwide and causes significant economic loses in both sheep and goat industry however little has been known about the gene sequence and structure hindering the further exploration of the organism so the genomic sequence of mycoplasma ovipneumoniae will be very useful for clarifing molecular biological characteristics of this organism the strain was isolated from lung of a goat with pneumoniae",1
"text","myocardial hypertrophy is a complex series of changes that precede heart failure hf and are accompanied by increased fibrosis ventricular dysfunction mitochondrial dysfunction and abnormal mitochondrial autophagy in response to various stimulating factors to explore the underlying molecular mechanisms we conducted rnaseq on four rats from both the sc and se groups this analysis revealed 161 upregulated and 116 downregulated genes involved in various biological processes when comparing the sc and se groups ",1
"text","na",1
"text","naked mole rats live in eusocial colonies where subordinates help a single dominant female and a few males to breed we investigated the genomewide regulatory mechanisms underlying their reproductive division of labor by examining brain and gonad transcriptomes and dnamethylomes subtle expression differences were observed between brains of dominants and subordinates but differentially expressed genes clustered consistently in a module with similar function for both sexes gonadotropinreleasing hormone gnrh1 was central in this module and linked with stressresponse genes such as neuropeptide y and corticotrophinreleasing hormone breedersubordinate modifications in dna methylation were substantial in male brains and associated with the gnrh1 module the gnrh1regulated estrogen synthesis pathway was completely blocked in subordinate ovaries and spermrelated genes were significantly downregulated in subordinate testes our results indicate that reproductive suppression is based on hormonal and stressrelated control by the dominant female but with significant differences in molecular mechanisms between males and femalesoverall design naked mole rats were housed in our laboratory animals were sacrificed and the tissues immediately frozen and stored in liquid nitrogen tissues were obtained from male n  2 and female n  2 breeders as well as male n  2 and female n  2 nonbreeders subordinates we analyzed brains from all eight individuals separately but female ovaries were only large enough for individual analysis in breeders whereas subordinate ovaries were so small that 35 of them had to be pooled for gene expression analyses the testes of breeding and nonbreeding males were not visually different but breeder status was known because these males had previously sired pups",1
"text","nannochloropsis oceanica transcriptome",1
"text","nanopore sequencing data of tmj wgs",1
"text","nanopore sequencing data of ywl wgs",1
"text","nanopore sequencing for detecting reciprocal translocation carrier status in preimplantation genetic testing",1
"text","nanoporebased singlemolecule sensing technology shows promising advantages in protein identification its realworld applications however are significantly constrained by the lack of streamlined sample preparation methods and low throughput limited detection capabilities for variable samples we herein present a nanopore sequencing platform that can accurately differentiate peptide fragments derived from enzymatically digested proteins by integrating a universal peptide library preparation strategy and aiassisted algorithms facilitating practical protein identification benefiting from massively parallel sensing data output the given peptides exhibit unique statistical signal characteristics this enables a reliable densitymatrix dm based filtering approach that discriminates both positive and negative samples additionally combining dms from different peptides also reveals specific fingerprints among various proteins enabling effective protein differentiation the accurate discrimination of real samples has validated the feasibility and reliability of this workflow for nanopore arraybased protein detection applications",1
"text","nanopore组装雄鳙基因组",1
"text","neps forschung kompakt",1
"text","neps rahmenkonzeption",1
"text","neptis clinia genome reference project",1
"text","neuroimmunity is present as an important mechanism in the brains of alzheimers patients and microglia are a key component of the brains innate immune response during the development and progression of alzheimers disease the interferon pathway plays an important role in the pathophysiologic mechanisms of ad rnaseq was performed on lpstreated microglialps and untreated microgliawt to further explore",1
"text","neuroprotective therapies for retinal degeneration may be used to rescue retinal cells and preserve vision hypoxic preconditioning stabilizes the transcription factor hif1α in the retina and strongly protects photoreceptors in an animal model of lightinduced retinal degenerationour data suggest that neuroprotection after hypoxic preconditioning of the retina is the result of the differential expression of a multitude of genes which may act in concert to protect visual cells against a toxic insultkeywords hypoxic preconditioning neuroprotection transcriptionprofile retinaoverall design in total 24 samples were analyzed on affymetrix mouse 4302 arrays the samples represent different durations of regeneration none  0 h 2 h 4 h and 16 h from hypoxic or normoxic treatments that were tested in triplicates",1
"text","new genome assembly of eimeria tenella houghton strain",1
"text","news clipping",1
"text","newsletterarticle",1
"text","newsletteredition",1
"text","nextgeneration sequencing has revolutionized genomics particularly in cancer research by enabling highthroughput mutation screening yet reliable fusion gene detection remains elusive longread sequencing offers potential for accurate fusion transcript identification but challenges persist here we presented an optimized workflow using nanopore sequencing technology to precisely identify fusion transcripts",1
"text","nextgeneration sequencing has yielded a vast amount of cattle genomic data for global characterization of population genetic diversity and identification of genomic regions under natural and artificial selection however efficient storage querying and visualization of such large datasets remain challenging here we developed a comprehensive database the bovine genome variation database bgvd it provides six main functionalities gene search variation search genomic signature search genome browser alignment search tools and the genome coordinate conversion tool bgvd contains information on genomic variations comprising 6044 m snps 686 m indels 76634 cnv regions and signatures of selective sweeps in 432 samples from modern cattle worldwide users can quickly retrieve distribution patterns of these variations for 54 cattle breeds through an interactive source of breed origin map using a given gene symbol or genomic region for any of the three versions of the bovine reference genomes arsucd12 umd311 and btau 501 signals of selection sweep are displayed as manhattan plots and genome browser tracks
to further investigate and visualize the relationships between variants and signatures of selection
the genome browser integrates all variations selection data and resources from ncbi the ucsc
genome browser and animal qtldb collectively all these features make the bgvd a useful
archive for indepth data mining and analyses of cattle biology and cattle breeding on a global scale
bgvd is publicly available at httpanimalnwsuafeducnbosvar",1
"text","ngn3egfp could be used to mark endocrine progenitor cells and their progeny in differentiating hescs suggesting that profiling analysis of ngn3egfp cells could lead to the discovery of novel gene participation six batches of ngn3egfp and ngn3egfp cells purified by facs from a reporter hes cell line cell cultures at stage 4 were pooled together respectively rnaseqbased analysis of the two cell fractions identified a total of 3976 differentially expressed genes pvalue2 of which 72 are enriched in ngn3gfp cells as expected all the genes expressed in pancreatic progenitor cells are enriched in ngn3egfpcells while all endocrineassociated genes are enriched in ngn3egfp cells among the 3976 genes 195 have potential transcriptional factor activity and 453 are potential noncoding rna genes most of which have not been well investigated in pancreatic endocrine cells the gene ontology term integral to membrane go 0016021 identified 1003 differentially expressed genes that encoded ion channels adhesion molecules and transportersoverall design ngn3egfp postive and negtive cells were purified at stage 4 and subjected to rnasequncing",1
"text","ngs data sets of 28  the cerebrospinal fluid  samples  with infectious meningitisthe tittle of paper is the application of nextgeneration sequencing to identify pathogens from the cerebrospinal fluid of patients suspected with infectious meningitis",1
"text","ngs transcriptome and nanopore fulllength transcriptome sequencing of diploid and artificial autotetraploid of platanus acerifloia",1
"text","ngs was performed in placenta samples from normal n3 and fgr patients n3 to explore the role of placenta abnormalities in fgr pathogenesis",1
"text","nippt",1
"text","nmsop 1",1
"text","no",1
"text","nomophila noctuella genome reference project",1
